sentiment,review
1, Great CD: My lovely Pat has one of the GREAT voices of her generation. I have listened to this CD for YEARS and I still LOVE IT. When I'm in a good mood it makes me feel better. A bad mood just evaporates like sugar in the rain. This CD just oozes LIFE. Vocals are jusat STUUNNING and lyrics just kill. One of life's hidden gems. This is a desert isle CD in my book. Why she never made it big is just beyond me. Everytime I play this
1, One of the best game music soundtracks - for a game I didn't really play: Despite the fact that I have only played a small portion of the game
0, Batteries died within a year ...: I bought this charger in Jul 2003 and it worked OK for a while. The design is nice and convenient. However
1, works fine
1, Great for the non-audiophile: Reviewed quite a bit of the combo players and was hesitant due to unfavorable reviews and size of machines. I am weaning off my VHS collection
0, DVD Player crapped out after one year: I also began having the incorrect disc problems that I've read about on here. The VCR still works
0, Incorrect Disc: I love the style of this
0, DVD menu select problems: I cannot scroll through a DVD menu that is set up vertically. The triangle keys will only select horizontally. So I cannot select anything on most DVD's besides play. No special features
1," Unique Weird Orientalia from the 1930's: Exotic tales of the Orient from the 1930's. ""Dr Shen Fu"""
0," Not an ""ultimate guide"": Firstly"
1, Great book for travelling Europe: I currently live in Europe
0, Not!: If you want to listen to El Duke 
0, A complete Bust: This game requires quicktime 5.0 to work...if you have a better version of quicktime (I have 7.5)
1, TRULY MADE A DIFFERENCE!: I have been using this product for a couple years now. I started using it because my hair had gotten so dry from all the chemical treatments and relaxers. This actualy came in the relaxer kit. I tried it and could not beleive the difference it made with one use. I could not find it in any of the stores at the time so I searched Amazon and they had it. I absolutely love it. It is the best moisturizing product I have used so far. My hair is soft with good elasticity and it is not breaking anywhere close to what it was. I am very happy with it.
0, didn't run off of USB bus power: Was hoping that this drive would run off of bus power
0, Don't buy!: First of all
1, Simple
1, Review of Kelly Club for Toddlers: For the price of 7.99
1, SOY UN APASIONADO DEL BOX: Y ESTE LIBRO ESTÁ ESPLÉNDIDO !Lo disfrutas
1, Some of the best fiddle playing I have heard in a long time: This is an excellent album with some great fiddle playing. Ryan is amazing to watch when he plays in person. You can feel the emotion he puts into each song.
0, Long and boring: I've read this book with much expectation
0, Dont like it: This product smells when you open the package and it appears one of the gel cushions leaks so I spent $10 and havent worn then. I wouldnt buy this product again. Dont waste your money on something you may not be able to use.
1, one of the last in the series to collect !: The magazine was in very good condition and had the usual high standard of articles and photos that Victoria magazine has come to represent. I have collected all the previous magazines of the series and still enjoy leafing through them on a rainy day
1, Sony Hi8 Camcorder with 2.5 LCD: I believe I will be very happy with the camcorder. Its small
0, Don't Take the Chance - Get the SE Branded Cable: If you purchase this data cable
0, Waste of money!: Like many of the Barbie CD Roms
1, works great: i bought this item to connect to a strobe light. unit functions well. not sure that it has all the range claimed
0, Has No Range: I suppose if you were going to sit in the same room and have line-of-sight with the device
1, wish i had gotten this sooner!: ive got a lamp in the corner of my room behind my desk thats a complete pain in the arse to turn on and off. ive been using this with the lamp for a month now and it works perfectly. added a little velcro and now i have a light switch where ever i want. under my desk
0, Three Days of Use and It Broke: Very disappointed in this product. It worked perfectly for exactly three days and could not be resuscitated. It was very inexpensive so I did not want to pay half again the price to ship it back for an exchange
1, This is the all time best book!: This is the all time best book. She mentoins in the book how anyone can be a vampire
1, Mary Ash: Can't believe I have never reviewed this book before. First read this back when I was 13. Like a lot of girls wanting the mysterious boyfriend and believed in soul-mates which drug me into these books. Rereading it over time years later still stands the test of time for me. Ash is that bad boy you want and your parents want you to stay away from even though he seems like a jerk there is just something about him that make you wanna root for him.
